Country,Year,text_official_unofficial_femicides,femicides_text,Int_homicide_by_family_and_partner_text,reported_offences_int_violence_text,physical_violence_text,psychological_violence_text,economic_violence_text,sexual_violence_text,female_rape_victims_text,female_sex_assault_victims_text
Cyprus,2019,In Cyprus in 2019 there were 0.8 times unofficial femicides to official data,,,,,,,,,
Cyprus,2020,In Cyprus in 2020 there were 0.8 times unofficial femicides to official data,Cyprus in 2020 had a -44.4% (5.0) decrease in femicides compared to 2019 (9.0).,,,,,,,,
Greece,2019,In Greece in 2019 there were 2.1 times unofficial femicides to official data,,,,,,,,,
Greece,2020,In Greece in 2020 there were 2.4 times unofficial femicides to official data,Greece in 2020 had a 0.0% (8.0) decrease in femicides compared to 2019 (8.0).,,Greece in 2020 had a 8.6% (5669.0) increase in reported_offences_int_violence compared to 2019 (5220.0).,Greece in 2020 had a 110.2% (3609.0) increase in physical_violence compared to 2019 (1717.0).,Greece in 2020 had a 104.6% (2906.0) increase in psychological_violence compared to 2019 (1420.0).,,Greece in 2020 had a 115.6% (69.0) increase in sexual_violence compared to 2019 (32.0).,Greece in 2020 had a 36.5% (202.0) increase in female_rape_victims compared to 2019 (148.0).,
Greece,2021,In Greece in 2021 there were 1.3 times unofficial femicides to official data,Greece in 2021 had a 187.5% (23.0) increase in femicides compared to 2019 (8.0).,,Greece in 2021 had a 68.1% (8776.0) increase in reported_offences_int_violence compared to 2019 (5220.0).,Greece in 2021 had a 300.3% (6873.0) increase in physical_violence compared to 2019 (1717.0).,Greece in 2021 had a 276.8% (5350.0) increase in psychological_violence compared to 2019 (1420.0).,,Greece in 2021 had a 340.6% (141.0) increase in sexual_violence compared to 2019 (32.0).,Greece in 2021 had a 36.5% (202.0) increase in female_rape_victims compared to 2019 (148.0).,
Serbia,2017,In Serbia in 2017 there were 1.1 times unofficial femicides to official data,,,,,,,,,
Serbia,2018,In Serbia in 2018 there were 1.5 times unofficial femicides to official data,,,,,,,,,
Serbia,2019,In Serbia in 2019 there were 1.4 times unofficial femicides to official data,,,,,,,,,
Serbia,2020,In Serbia in 2020 there were 1.4 times unofficial femicides to official data,Serbia in 2020 had a 0.0% (19.0) decrease in femicides compared to 2019 (19.0).,,,Serbia in 2020 had a -2.8% (9725.0) decrease in physical_violence compared to 2019 (10009.0).,Serbia in 2020 had a 3.4% (9983.0) increase in psychological_violence compared to 2019 (9653.0).,Serbia in 2020 had a 6.4% (415.0) increase in economic_violence compared to 2019 (390.0).,Serbia in 2020 had a -52.6% (100.0) decrease in sexual_violence compared to 2019 (211.0).,Serbia in 2020 had a -27.4% (90.0) decrease in female_rape_victims compared to 2019 (124.0).,Serbia in 2020 had a -11.3% (377.0) decrease in female_sex_assault_victims compared to 2019 (425.0).
Serbia,2021,In Serbia in 2021 there were 1.5 times unofficial femicides to official data,Serbia in 2021 had a -31.6% (13.0) decrease in femicides compared to 2019 (19.0).,,,Serbia in 2021 had a -5.2% (9489.0) decrease in physical_violence compared to 2019 (10009.0).,Serbia in 2021 had a 9.7% (10588.0) increase in psychological_violence compared to 2019 (9653.0).,Serbia in 2021 had a 5.4% (411.0) increase in economic_violence compared to 2019 (390.0).,Serbia in 2021 had a -16.6% (176.0) decrease in sexual_violence compared to 2019 (211.0).,Serbia in 2021 had a -44.4% (69.0) decrease in female_rape_victims compared to 2019 (124.0).,
