Country,Year,Population,female_population,Female deaths,ICSS CRIME,LEGAL STATUS OF PERPETRATOR,Value,per_100k
Austria,2012,8408121,4309977.0,41803.0,Intentional homicide,Suspected person,166.0,4.1
Austria,2012,8408121,4309977.0,41803.0,Intentional homicide,Prosecuted person,366.0,8.9
Austria,2012,8408121,4309977.0,41803.0,Intentional homicide,Convicted person,35.0,0.9
Austria,2012,8408121,4309977.0,41803.0,Rape,Suspected person,1088.0,26.5
Austria,2012,8408121,4309977.0,41803.0,Rape,Prosecuted person,1699.0,41.5
Austria,2012,8408121,4309977.0,41803.0,Rape,Convicted person,170.0,4.1
Austria,2012,8408121,4309977.0,41803.0,Sexual assault,Suspected person,1948.0,47.5
Austria,2012,8408121,4309977.0,41803.0,Sexual assault,Prosecuted person,2649.0,64.6
Austria,2012,8408121,4309977.0,41803.0,Sexual assault,Convicted person,213.0,5.2
Austria,2013,8451860,4328238.0,41378.0,Intentional homicide,Suspected person,51.0,1.2
Austria,2013,8451860,4328238.0,41378.0,Intentional homicide,Prosecuted person,345.0,8.4
Austria,2013,8451860,4328238.0,41378.0,Intentional homicide,Convicted person,28.0,0.7
Austria,2013,8451860,4328238.0,41378.0,Rape,Suspected person,1098.0,26.6
Austria,2013,8451860,4328238.0,41378.0,Rape,Prosecuted person,1619.0,39.3
Austria,2013,8451860,4328238.0,41378.0,Rape,Convicted person,190.0,4.6
Austria,2013,8451860,4328238.0,41378.0,Sexual assault,Suspected person,1505.0,36.5
Austria,2013,8451860,4328238.0,41378.0,Sexual assault,Prosecuted person,2505.0,60.7
Austria,2013,8451860,4328238.0,41378.0,Sexual assault,Convicted person,109.0,2.6
Austria,2014,8507786,4352447.0,40662.0,Intentional homicide,Suspected person,32.0,0.8
Austria,2014,8507786,4352447.0,40662.0,Intentional homicide,Prosecuted person,302.0,7.3
Austria,2014,8507786,4352447.0,40662.0,Intentional homicide,Convicted person,31.0,0.7
Austria,2014,8507786,4352447.0,40662.0,Rape,Suspected person,1084.0,26.1
Austria,2014,8507786,4352447.0,40662.0,Rape,Prosecuted person,1586.0,38.2
Austria,2014,8507786,4352447.0,40662.0,Rape,Convicted person,185.0,4.5
Austria,2014,8507786,4352447.0,40662.0,Sexual assault,Suspected person,1544.0,37.2
Austria,2014,8507786,4352447.0,40662.0,Sexual assault,Prosecuted person,2421.0,58.3
Austria,2014,8507786,4352447.0,40662.0,Sexual assault,Convicted person,120.0,2.9
Austria,2015,8584926,4384529.0,43159.0,Intentional homicide,Suspected person,43.0,1.0
