country_code,Country,Year,Population,female_population,Deaths,Female deaths,Female assaults deaths,Intentional female homicides,vic_intimate_violence,reported_offences_int_violence,men_perpetrators_int_violence,physical_violence,psychological_violence,sexual_violence,economic_violence,rape_victims,femicides,homicide_total,pct of femicides to female homicide victims,protection_orders,men_prosecuted_for_int_violence,men_sentenced,men_held_in_prison,Intentional female homicides_pct_change,vic_intimate_violence_pct_change,reported_offences_int_violence_pct_change,men_perpetrators_int_violence_pct_change,physical_violence_pct_change,psychological_violence_pct_change,sexual_violence_pct_change,economic_violence_pct_change,rape_victims_pct_change,femicides_pct_change,homicide_total_pct_change,protection_orders_pct_change,men_prosecuted_for_int_violence_pct_change,men_sentenced_pct_change,men_held_in_prison_pct_change,vic_intimate_violence_per_100000,physical_violence_per_100000,psychological_violence_per_100000,sexual_violence_per_100000,economic_violence_per_100000,rape_victims_per_100000,femicides_per_100000,homicide_total_per_100000,pct_sentenced_from_prosecuted,pct_prison_from_sentenced,pct_prison_from_prosecuted,Intentional female homicides_per_100000,comparable_countries_reported_offences,comparable_femicides_countries,comparable_femicides
AT,Austria,2011,8375164,,76142.0,39758.0,21.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
AT,Austria,2012,8408121,4309977.0,78961.0,41803.0,21.0,38.0,,,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,False,False,False
AT,Austria,2013,8451860,4328238.0,79020.0,41378.0,23.0,30.0,,,,,,,,,,,,,,,,-21.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,False,False,False
AT,Austria,2014,8507786,4352447.0,77940.0,40662.0,17.0,23.0,10061.0,9904.0,,5785.0,4049.0,221.0,6.0,485.0,25.0,38.0,66.0,,,,,-23.3,,,,,,,,,,,,,,,231.2,132.9,93.0,5.1,0.1,11.1,0.6,0.9,,,,0.5,False,False,False
AT,Austria,2015,8584926,4384529.0,83026.0,43159.0,31.0,17.0,10529.0,10297.0,,6172.0,4150.0,196.0,11.0,452.0,32.0,46.0,70.0,,3648.0,433.0,,-26.1,4.7,4.0,,6.7,2.5,-11.3,83.3,-6.8,28.0,21.1,,,,,240.1,140.8,94.7,4.5,0.3,10.3,0.7,1.0,11.9,,,0.4,False,False,False
AT,Austria,2016,8700471,4427918.0,80374.0,41579.0,28.0,31.0,11549.0,11297.0,,6550.0,4746.0,247.0,6.0,504.0,41.0,52.0,79.0,,3852.0,524.0,,82.4,9.7,9.7,,6.1,14.4,26.0,-45.5,11.5,28.1,13.0,,5.6,21.0,,260.8,147.9,107.2,5.6,0.1,11.4,0.9,1.2,13.6,,,0.7,False,False,False
AT,Austria,2017,8772865,4460424.0,82957.0,43274.0,27.0,37.0,11194.0,10921.0,,6415.0,4515.0,257.0,7.0,477.0,43.0,65.0,66.0,,3938.0,486.0,,19.4,-3.1,-3.3,,-2.1,-4.9,4.0,16.7,-5.4,4.9,25.0,,2.2,-7.3,,251.0,143.8,101.2,5.8,0.2,10.7,1.0,1.5,12.3,,,0.8,False,False,False
AT,Austria,2018,8822267,4483749.0,83458.0,42902.0,32.0,44.0,11047.0,10598.0,,6424.0,4352.0,264.0,7.0,509.0,54.0,72.0,75.0,,3716.0,547.0,,18.9,-1.3,-3.0,,0.1,-3.6,2.7,0.0,6.7,25.6,10.8,,-5.6,12.6,,246.4,143.3,97.1,5.9,0.2,11.4,1.2,1.6,14.7,,,1.0,False,False,False
AT,Austria,2019,8858775,4501742.0,82979.0,42454.0,27.0,40.0,,,,,,,,,,,,,,,,-9.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,False,False,False
AT,Austria,2020,8901064,4522292.0,90963.0,45999.0,25.0,37.0,,,,,,,,,,,,,,,,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,False,False,False
