country_code,Country,Year,Population,female_population,Deaths,Female deaths,Intentional female homicides,intentional_family,intentional_partner,Int_homicide_by_family_and_partner,femicides,homicide_total,vic_intimate_violence,reported_offences_int_violence,men_perpetrators_int_violence,physical_violence,psychological_violence,sexual_violence,economic_violence,rape_victims,protection_orders,men_prosecuted_for_int_violence,men_sentenced,men_held_in_prison,female_rape_victims,female_sex_assault_victims,rape_convicted,rape_prosecuted,rape_suspected,sex_assault_convicted,sex_assault_prosecuted,sex_assault_suspected,Intentional female homicides_pct_change,intentional_family_pct_change,intentional_partner_pct_change,Int_homicide_by_family_and_partner_pct_change,femicides_pct_change,homicide_total_pct_change,vic_intimate_violence_pct_change,reported_offences_int_violence_pct_change,men_perpetrators_int_violence_pct_change,physical_violence_pct_change,psychological_violence_pct_change,sexual_violence_pct_change,economic_violence_pct_change,rape_victims_pct_change,protection_orders_pct_change,men_prosecuted_for_int_violence_pct_change,men_sentenced_pct_change,men_held_in_prison_pct_change,rape_convicted_pct_change,rape_prosecuted_pct_change,rape_suspected_pct_change,sex_assault_convicted_pct_change,sex_assault_prosecuted_pct_change,sex_assault_suspected_pct_change,female_rape_victims_pct_change,female_sex_assault_victims_pct_change,male_population,Intentional female homicides_per_100000,intentional_family_per_100000,intentional_partner_per_100000,Int_homicide_by_family_and_partner_per_100000,femicides_per_100000,homicide_total_per_100000,vic_intimate_violence_per_100000,reported_offences_int_violence_per_100000,physical_violence_per_100000,psychological_violence_per_100000,sexual_violence_per_100000,economic_violence_per_100000,rape_victims_per_100000,female_rape_victims_per_100000,female_sex_assault_victims_per_100000,men_perpetrators_int_violence_per_100000,protection_orders_per_100000,men_prosecuted_for_int_violence_per_100000,men_sentenced_per_100000,men_held_in_prison_per_100000,rape_convicted_per_100000,rape_prosecuted_per_100000,rape_suspected_per_100000,sex_assault_convicted_per_100000,sex_assault_prosecuted_per_100000,sex_assault_suspected_per_100000,pct_of_jailed_from_prosecuted,pct_of_sentenced_from_prosecuted,comparable_femicides_countries,comparable_countries_reported_offences
AT,Austria,2011,8375164.0,,76142.0,39758.0,35.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1131.0,743.0,189.54,1726.31,1110.58,223.34,2782.59,1911.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
AT,Austria,2012,8408121.0,4309977.0,78961.0,41803.0,38.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1117.0,780.0,174.15,1740.46,1114.55,218.2,2713.64,1995.53,8.6,,,,,,,,,,,,,,,,,,-8.1,0.8,0.4,-2.3,-2.5,4.4,-1.2,5.0,4098144.0,0.9,0.0,0.0,0.0,,,,,,,,,,25.9,18.1,,,,,,4.2,42.5,27.2,5.3,66.2,48.7,,,False,False
AT,Austria,2013,8451860.0,4328238.0,79020.0,41378.0,30.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1146.0,660.0,194.61,1658.26,1124.63,111.64,2565.75,1541.5,-21.1,,,,,,,,,,,,,,,,,,11.7,-4.7,0.9,-48.8,-5.4,-22.8,2.6,-15.4,4123622.0,0.7,0.0,0.0,0.0,,,,,,,,,,26.5,15.2,,,,,,4.7,40.2,27.3,2.7,62.2,37.4,,,False,False
AT,Austria,2014,8507786.0,4352447.0,77940.0,40662.0,23.0,0.0,0.0,0.0,25.0,38.0,10061.0,9904.0,,5785.0,4049.0,221.0,6.0,485.0,,,,,1061.0,696.0,189.45,1624.17,1110.09,122.89,2479.26,1581.15,-23.3,,,,,,,,,,,,,,,,,,-2.7,-2.1,-1.3,10.1,-3.4,2.6,-7.4,5.5,4155339.0,0.5,0.0,0.0,0.0,0.6,0.9,231.2,227.6,132.9,93.0,5.1,0.1,11.1,24.4,16.0,,,,,,4.6,39.1,26.7,3.0,59.7,38.1,,,False,False
AT,Austria,2015,8584926.0,4384529.0,83026.0,43159.0,17.0,14.0,0.0,14.0,32.0,46.0,10529.0,10297.0,,6172.0,4150.0,196.0,11.0,452.0,,3648.0,433.0,,1045.0,688.0,179.17,1603.33,1026.91,125.93,2508.4,1516.3,-26.1,inf,,inf,28.0,21.1,4.7,4.0,,6.7,2.5,-11.3,83.3,-6.8,,,,,-5.4,-1.3,-7.5,2.5,1.2,-4.1,-1.5,-1.1,4200397.0,0.4,0.3,0.0,0.3,0.7,1.0,240.1,234.8,140.8,94.7,4.5,0.3,10.3,23.8,15.7,,,86.8,10.3,,4.3,38.2,24.4,3.0,59.7,36.1,,11.9,False,False
AT,Austria,2016,8700471.0,4427918.0,80374.0,41579.0,31.0,23.0,0.0,23.0,41.0,52.0,11549.0,11297.0,,6550.0,4746.0,247.0,6.0,504.0,,3852.0,524.0,,1123.0,2051.0,190.36,1590.37,1151.38,135.09,2965.83,2252.6,82.4,64.3,,64.3,28.1,13.0,9.7,9.7,,6.1,14.4,26.0,-45.5,11.5,,5.6,21.0,,6.2,-0.8,12.1,7.3,18.2,48.6,7.5,198.1,4272553.0,0.7,0.5,0.0,0.5,0.9,1.2,260.8,255.1,147.9,107.2,5.6,0.1,11.4,25.4,46.3,,,90.2,12.3,,4.5,37.2,26.9,3.2,69.4,52.7,,13.6,False,False
AT,Austria,2017,8772865.0,4460424.0,82957.0,43274.0,37.0,29.0,0.0,29.0,43.0,65.0,11194.0,10921.0,,6415.0,4515.0,257.0,7.0,477.0,,3938.0,486.0,,1388.0,2446.0,198.5,1736.35,1405.86,211.8,3298.76,2076.05,19.4,26.1,,26.1,4.9,25.0,-3.1,-3.3,,-2.1,-4.9,4.0,16.7,-5.4,,2.2,-7.3,,4.3,9.2,22.1,56.8,11.2,-7.8,23.6,19.3,4312441.0,0.8,0.7,0.0,0.7,1.0,1.5,251.0,244.8,143.8,101.2,5.8,0.2,10.7,31.1,54.8,,,91.3,11.3,,4.6,40.3,32.6,4.9,76.5,48.1,,12.3,False,False
AT,Austria,2018,8822267.0,4483749.0,83458.0,42902.0,44.0,31.0,0.0,31.0,54.0,72.0,11047.0,10598.0,,6424.0,4352.0,264.0,7.0,509.0,,3716.0,547.0,,1596.0,2509.0,194.38,1821.03,1618.46,216.89,3149.97,2177.05,18.9,6.9,,6.9,25.6,10.8,-1.3,-3.0,,0.1,-3.6,2.7,0.0,6.7,,-5.6,12.6,,-2.1,4.9,15.1,2.4,-4.5,4.9,15.0,2.6,4338518.0,1.0,0.7,0.0,0.7,1.2,1.6,246.4,236.4,143.3,97.1,5.9,0.2,11.4,35.6,56.0,,,85.7,12.6,,4.5,42.0,37.3,5.0,72.6,50.2,,14.7,False,False
AT,Austria,2019,8858775.0,4501742.0,82979.0,42454.0,40.0,21.0,0.0,21.0,,,,,,,,,,,,,,,1596.0,2233.0,164.7,1942.58,1606.03,223.0,3106.7,1904.74,-9.1,-32.3,,-32.3,,,,,,,,,,,,,,,-15.3,6.7,-0.8,2.8,-1.4,-12.5,0.0,-11.0,4357033.0,0.9,0.5,0.0,0.5,,,,,,,,,,35.5,49.6,,,,,,3.8,44.6,36.9,5.1,71.3,43.7,,,False,False
AT,Austria,2020,8901064.0,4522292.0,90963.0,45999.0,37.0,27.0,0.0,27.0,,,,,,,,,,,,,,,1579.0,2120.0,191.27,1725.53,1598.69,222.98,2712.56,1683.59,-7.5,28.6,,28.6,,,,,,,,,,,,,,,16.1,-11.2,-0.5,-0.0,-12.7,-11.6,-1.1,-5.1,4378772.0,0.8,0.6,0.0,0.6,,,,,,,,,,34.9,46.9,,,,,,4.4,39.4,36.5,5.1,61.9,38.4,,,False,False
