Country,Year,female_population,Female deaths,ICCS - CRIME DEFINITION,UNIT,Value,per100k
Austria,2012,4309977.0,41803.0,Intentional homicide,Number,38.0,0.9
Austria,2012,4309977.0,41803.0,Rape,Number,1117.0,25.9
Austria,2012,4309977.0,41803.0,Sexual assault,Number,780.0,18.1
Austria,2013,4328238.0,41378.0,Intentional homicide,Number,30.0,0.7
Austria,2013,4328238.0,41378.0,Rape,Number,1146.0,26.5
Austria,2013,4328238.0,41378.0,Sexual assault,Number,660.0,15.2
Austria,2014,4352447.0,40662.0,Intentional homicide,Number,23.0,0.5
Austria,2014,4352447.0,40662.0,Rape,Number,1061.0,24.4
Austria,2014,4352447.0,40662.0,Sexual assault,Number,696.0,16.0
Austria,2015,4384529.0,43159.0,Intentional homicide,Number,17.0,0.4
Austria,2015,4384529.0,43159.0,Rape,Number,1045.0,23.8
Austria,2015,4384529.0,43159.0,Sexual assault,Number,688.0,15.7
Austria,2016,4427918.0,41579.0,Intentional homicide,Number,31.0,0.7
Austria,2016,4427918.0,41579.0,Rape,Number,1123.0,25.4
Austria,2016,4427918.0,41579.0,Sexual assault,Number,2051.0,46.3
Austria,2017,4460424.0,43274.0,Intentional homicide,Number,37.0,0.8
Austria,2017,4460424.0,43274.0,Rape,Number,1388.0,31.1
Austria,2017,4460424.0,43274.0,Sexual assault,Number,2446.0,54.8
Austria,2018,4483749.0,42902.0,Intentional homicide,Number,44.0,1.0
Austria,2018,4483749.0,42902.0,Rape,Number,1596.0,35.6
Austria,2018,4483749.0,42902.0,Sexual assault,Number,2509.0,56.0
Austria,2019,4501742.0,42454.0,Intentional homicide,Number,40.0,0.9
Austria,2019,4501742.0,42454.0,Rape,Number,1596.0,35.5
Austria,2019,4501742.0,42454.0,Sexual assault,Number,2233.0,49.6
Austria,2020,4522292.0,45999.0,Intentional homicide,Number,37.0,0.8
Austria,2020,4522292.0,45999.0,Rape,Number,1579.0,34.9
Austria,2020,4522292.0,45999.0,Sexual assault,Number,2120.0,46.9
Austria,2021,4535712.0,,Intentional homicide,Number,29.0,0.6
Belgium,2012,5635601.0,55291.0,Intentional homicide,Number,,
Belgium,2012,5635601.0,55291.0,Rape,Number,,
Belgium,2012,5635601.0,55291.0,Sexual assault,Number,,
Belgium,2013,5665118.0,55493.0,Intentional homicide,Number,,
Belgium,2013,5665118.0,55493.0,Rape,Number,,
Belgium,2013,5665118.0,55493.0,Sexual assault,Number,,
Belgium,2014,5687048.0,53244.0,Intentional homicide,Number,,
Belgium,2014,5687048.0,53244.0,Rape,Number,,
Belgium,2014,5687048.0,53244.0,Sexual assault,Number,,
Belgium,2015,5713206.0,56926.0,Intentional homicide,Number,,
Belgium,2015,5713206.0,56926.0,Rape,Number,,
Belgium,2015,5713206.0,56926.0,Sexual assault,Number,,
Belgium,2016,5741853.0,54778.0,Intentional homicide,Number,,
Belgium,2016,5741853.0,54778.0,Rape,Number,,
Belgium,2016,5741853.0,54778.0,Sexual assault,Number,,
Belgium,2017,5762455.0,55373.0,Intentional homicide,Number,,
Belgium,2017,5762455.0,55373.0,Rape,Number,,
Belgium,2017,5762455.0,55373.0,Sexual assault,Number,,
Belgium,2018,5784371.0,56586.0,Intentional homicide,Number,,
Belgium,2018,5784371.0,56586.0,Rape,Number,,
Belgium,2018,5784371.0,56586.0,Sexual assault,Number,,
Belgium,2019,5810693.0,55564.0,Intentional homicide,Number,,
Belgium,2019,5810693.0,55564.0,Rape,Number,,
Belgium,2019,5810693.0,55564.0,Sexual assault,Number,,
Belgium,2020,5841215.0,,Intentional homicide,Number,,
Belgium,2020,5841215.0,,Rape,Number,,
Belgium,2020,5841215.0,,Sexual assault,Number,,
Bulgaria,2012,3760457.0,52334.0,Intentional homicide,Number,37.0,1.0
Bulgaria,2012,3760457.0,52334.0,Rape,Number,187.0,5.0
Bulgaria,2012,3760457.0,52334.0,Sexual assault,Number,229.0,6.1
Bulgaria,2013,3739479.0,49234.0,Intentional homicide,Number,34.0,0.9
Bulgaria,2013,3739479.0,49234.0,Rape,Number,164.0,4.4
Bulgaria,2013,3739479.0,49234.0,Sexual assault,Number,222.0,5.9
Bulgaria,2014,3720732.0,51956.0,Intentional homicide,Number,26.0,0.7
Bulgaria,2014,3720732.0,51956.0,Rape,Number,148.0,4.0
Bulgaria,2014,3720732.0,51956.0,Sexual assault,Number,232.0,6.2
Bulgaria,2015,3700183.0,52671.0,Intentional homicide,Number,29.0,0.8
Bulgaria,2015,3700183.0,52671.0,Rape,Number,119.0,3.2
Bulgaria,2015,3700183.0,52671.0,Sexual assault,Number,296.0,8.0
Bulgaria,2016,3676607.0,50998.0,Intentional homicide,Number,22.0,0.6
Bulgaria,2016,3676607.0,50998.0,Rape,Number,127.0,3.5
Bulgaria,2016,3676607.0,50998.0,Sexual assault,Number,387.0,10.5
Bulgaria,2017,3651881.0,52475.0,Intentional homicide,Number,35.0,1.0
Bulgaria,2017,3651881.0,52475.0,Rape,Number,142.0,3.9
Bulgaria,2017,3651881.0,52475.0,Sexual assault,Number,238.0,6.5
Bulgaria,2018,3627625.0,51583.0,Intentional homicide,Number,38.0,1.0
Bulgaria,2018,3627625.0,51583.0,Rape,Number,94.0,2.6
