Country,Year,Intentional female homicides,female_population,Female deaths,Relationship_type,Value,vic_offender_relationship_per_100k,pct_of_value_to_femicides
Austria,2011,35.0,,39758.0,Total,,,
Austria,2011,35.0,,39758.0,Family and relatives,,,
Austria,2011,35.0,,39758.0,Intimate partner,,,
Austria,2012,38.0,4309977.0,41803.0,Total,,,
Austria,2012,38.0,4309977.0,41803.0,Family and relatives,,,
Austria,2012,38.0,4309977.0,41803.0,Intimate partner,,,
Austria,2013,30.0,4328238.0,41378.0,Total,,,
Austria,2013,30.0,4328238.0,41378.0,Family and relatives,,,
Austria,2013,30.0,4328238.0,41378.0,Intimate partner,,,
Austria,2014,23.0,4352447.0,40662.0,Total,,,
Austria,2014,23.0,4352447.0,40662.0,Family and relatives,,,
Austria,2014,23.0,4352447.0,40662.0,Intimate partner,,,
Austria,2015,17.0,4384529.0,43159.0,Total,14.0,0.3,82.4
Austria,2015,17.0,4384529.0,43159.0,Family and relatives,14.0,,82.4
Austria,2015,17.0,4384529.0,43159.0,Intimate partner,,,
Austria,2016,31.0,4427918.0,41579.0,Total,23.0,0.5,74.2
Austria,2016,31.0,4427918.0,41579.0,Family and relatives,23.0,,74.2
Austria,2016,31.0,4427918.0,41579.0,Intimate partner,,,
Austria,2017,37.0,4460424.0,43274.0,Total,29.0,0.7,78.4
Austria,2017,37.0,4460424.0,43274.0,Family and relatives,29.0,,78.4
Austria,2017,37.0,4460424.0,43274.0,Intimate partner,,,
Austria,2018,44.0,4483749.0,42902.0,Total,31.0,0.7,70.5
Austria,2018,44.0,4483749.0,42902.0,Family and relatives,31.0,,70.5
Austria,2018,44.0,4483749.0,42902.0,Intimate partner,,,
Austria,2019,40.0,4501742.0,42454.0,Total,21.0,0.5,52.5
Austria,2019,40.0,4501742.0,42454.0,Family and relatives,21.0,,52.5
Austria,2019,40.0,4501742.0,42454.0,Intimate partner,,,
Austria,2020,37.0,4522292.0,45999.0,Total,27.0,0.6,73.0
Austria,2020,37.0,4522292.0,45999.0,Family and relatives,27.0,,73.0
Austria,2020,37.0,4522292.0,45999.0,Intimate partner,,,
Austria,2021,,4535712.0,,,,,
Austria,2022,,,,,,,
Belgium,2011,,,53015.0,,,,
Belgium,2012,,5635601.0,55291.0,,,,
Belgium,2013,,5665118.0,55493.0,,,,
Belgium,2014,,5687048.0,53244.0,,,,
Belgium,2015,,5713206.0,56926.0,,,,
Belgium,2016,,5741853.0,54778.0,,,,
Belgium,2017,,5762455.0,55373.0,,,,
Belgium,2018,,5784371.0,56586.0,,,,
Belgium,2019,,5810693.0,55564.0,,,,
Belgium,2020,,5841215.0,,,,,
Belgium,2021,,5854293.0,,,,,
Belgium,2022,,,,,,,
Bulgaria,2011,30.0,,51360.0,,,,
Bulgaria,2012,37.0,3760457.0,52334.0,,,,
Bulgaria,2013,34.0,3739479.0,49234.0,,,,
Bulgaria,2014,26.0,3720732.0,51956.0,,,,
Bulgaria,2015,29.0,3700183.0,52671.0,,,,
Bulgaria,2016,22.0,3676607.0,50998.0,,,,
Bulgaria,2017,35.0,3651881.0,52475.0,,,,
Bulgaria,2018,38.0,3627625.0,51583.0,,,,
Bulgaria,2019,23.0,3604338.0,51331.0,,,,
Bulgaria,2020,26.0,3581836.0,58077.0,,,,
Bulgaria,2021,,3566833.0,,,,,
Bulgaria,2022,,,,,,,
Croatia,2011,21.0,,25994.0,Total,,,
Croatia,2011,21.0,,25994.0,Family and relatives,,,
Croatia,2011,21.0,,25994.0,Intimate partner,,,
Croatia,2012,18.0,2213675.0,26099.0,Total,,,
Croatia,2012,18.0,2213675.0,26099.0,Family and relatives,5.0,,27.8
Croatia,2012,18.0,2213675.0,26099.0,Intimate partner,7.0,,38.9
Croatia,2013,21.0,2205657.0,25530.0,Total,,,
Croatia,2013,21.0,2205657.0,25530.0,Family and relatives,5.0,,23.8
Croatia,2013,21.0,2205657.0,25530.0,Intimate partner,8.0,,38.1
Croatia,2014,17.0,2197061.0,26031.0,Total,,,
Croatia,2014,17.0,2197061.0,26031.0,Family and relatives,6.0,,35.3
Croatia,2014,17.0,2197061.0,26031.0,Intimate partner,8.0,,47.1
Croatia,2015,15.0,2186089.0,27987.0,Total,13.0,0.6,86.7
Croatia,2015,15.0,2186089.0,27987.0,Family and relatives,2.0,,13.3
Croatia,2015,15.0,2186089.0,27987.0,Intimate partner,11.0,,73.3
Croatia,2016,20.0,2167872.0,26397.0,Total,18.0,0.8,90.0
Croatia,2016,20.0,2167872.0,26397.0,Family and relatives,7.0,,35.0
Croatia,2016,20.0,2167872.0,26397.0,Intimate partner,11.0,,55.0
Croatia,2017,18.0,2149003.0,27817.0,Total,16.0,0.7,88.9
Croatia,2017,18.0,2149003.0,27817.0,Family and relatives,7.0,,38.9
Croatia,2017,18.0,2149003.0,27817.0,Intimate partner,9.0,,50.0
Croatia,2018,8.0,2123694.0,26985.0,Total,5.0,0.2,62.5
Croatia,2018,8.0,2123694.0,26985.0,Family and relatives,1.0,,12.5
Croatia,2018,8.0,2123694.0,26985.0,Intimate partner,4.0,,50.0
Croatia,2019,14.0,2103674.0,26692.0,Total,9.0,0.4,64.3
Croatia,2019,14.0,2103674.0,26692.0,Family and relatives,4.0,,28.6
Croatia,2019,14.0,2103674.0,26692.0,Intimate partner,5.0,,35.7
Croatia,2020,19.0,2086515.0,29164.0,Total,14.0,0.7,73.7
Croatia,2020,19.0,2086515.0,29164.0,Family and relatives,5.0,,26.3
Croatia,2020,19.0,2086515.0,29164.0,Intimate partner,9.0,,47.4
Croatia,2021,14.0,2071425.0,31575.0,,,,
Croatia,2022,,,22384.0,,,,
Cyprus,2011,6.0,,2606.0,Total,,,
Cyprus,2011,6.0,,2606.0,Family and relatives,,,
Cyprus,2011,6.0,,2606.0,Intimate partner,,,
Cyprus,2012,5.0,443018.0,2668.0,Total,,,
Cyprus,2012,5.0,443018.0,2668.0,Family and relatives,,,
Cyprus,2012,5.0,443018.0,2668.0,Intimate partner,,,
Cyprus,2013,3.0,444842.0,2373.0,Total,,,
Cyprus,2013,3.0,444842.0,2373.0,Family and relatives,,,
Cyprus,2013,3.0,444842.0,2373.0,Intimate partner,,,
Cyprus,2014,5.0,440462.0,2609.0,Total,,,
Cyprus,2014,5.0,440462.0,2609.0,Family and relatives,,,
Cyprus,2014,5.0,440462.0,2609.0,Intimate partner,,,
Cyprus,2015,2.0,435183.0,2839.0,Total,,,
